number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1044751,잡담,직잭 토스쿠폰 오늘 바로 써야하나..??,False,4,26.06.15,442,https://theqoo.net/beauty/4244567884?page=349,beauty,이거 사용하는것도 선착이었지???아닌가,0
1044735,잡담,비플레인 클렌징밤 펨샐이라해서 달려갔더니 무신사같은곳 혜택가보다 비싸네..?,False,1,26.06.15,231,https://theqoo.net/beauty/4244512677?page=350,beauty,이게무슨팸셀이옄ㅋㅋ 2개에 29800원임,0
1044713,잡담,입큰 레몬 하라 무신사 품절 풀렸다,False,4,26.06.15,573,https://theqoo.net/beauty/4244446014?page=351,beauty,브러쉬까지 주는거 ㄱㅇㄷ,0
1044705,잡담,토스에서 지그재그 3만원 이상 구매시 1만원 쿠폰 준다,True,17,26.06.15,1990,https://theqoo.net/beauty/4244407223?page=351,beauty,근데 룰렛 돌려서 받는거라서 노가다 해야 돼,1
1044691,잡담,투에이엔 스트레스볼 지그재그에서 증정으로 준다,True,1,26.06.15,599,https://theqoo.net/beauty/4244371817?page=352,beauty,스트레스볼 받으려고 틴트 1개 바로 구매했어,1
1044690,잡담,무신사 코스알엑스 스킨부스터 싸다,True,2,26.06.15,671,https://theqoo.net/beauty/4244365990?page=352,beauty,2개 25500 나옴,1
1044671,잡담,무신사뷰티도 품절 잘 되나?,False,3,26.06.15,840,https://theqoo.net/beauty/4244218185?page=353,beauty,"사고싶은거 많은데
카테고리 세일에 뷰티 20일부터라
추가할인 들어갈까봐 고민중",0
1044657,잡담,지그재그 사람들 모이면 포인트 주는거 오늘부터 시작이네,True,2,26.06.15,958,https://theqoo.net/beauty/4244155615?page=354,beauty,까먹을까 봐 알람도 맞춰 둠,1
1044300,잡담,직잭바이오던스 겔마스크 엄청 싸다해서 다섯팩 사버림,False,0,26.06.13,288,https://theqoo.net/beauty/4242393428?page=371,beauty,🙄 옴마랑 나눠쓰면 되지 나 원래 마스크팩 잘 안 썼는데 다이소 갔다가 아줄렌카밍마스크? 이거랑 김정문알로에겔마스크 이거 두개 써보고 겔마스크팩에 빠짐 착 밀착되는거 개좋아!!!!!!!,0
1044297,잡담,직잭 바이오던스 살까말까,False,6,26.06.13,994,https://theqoo.net/beauty/4242378925?page=372,beauty,집에 팩 많긴한데 가격이 너무 저렴하니까 사고 싶음,0
1044254,잡담,무신사 시미헤이즈 하라 왜 재입고안해주지....,False,4,26.06.13,324,https://theqoo.net/beauty/4242254442?page=374,beauty,세일할때 다이아몬드 사고싶은디ㅠㅠ,0
1043746,잡담,직잭 바글이쿠폰 취소하면 없어지려나?,False,3,26.06.11,730,https://theqoo.net/beauty/4239381055?page=399,beauty,"취소하고 딴거살까 고민중인데ㅠㅠ
해본덬없지?",0
1043736,잡담,직잭 쿠폰으로 얘네삿다,True,2,26.06.10,1479,https://theqoo.net/beauty/4239313593?page=400,beauty,지금까지 쿠폰 안써서 안사겠지 싶었는데 담으니 먹혀서(?) 삼,6
1043726,잡담,직잭 40퍼는 다들 썼어?,False,4,26.06.10,1017,https://theqoo.net/beauty/4239253213?page=400,beauty,한장 남았는데 고민 ..,0
1043687,잡담,밈즈 지그재그 구매인증 당첨된 덬 있어?,False,2,26.06.10,87,https://theqoo.net/beauty/4239006087?page=402,beauty,경품 시딩키트였고 100명 추첨인데 댓글 200개 정도라 기대했는데 디엠 안온걸 보니 꽝인가봐...ㅜㅜ,0
1043684,잡담,지그재그 원래 이래 ??? 클리오꺼 아라 삿는디,True,2,26.06.10,1038,https://theqoo.net/beauty/4238991300?page=402,beauty,"미니틴트 주는 건 알고 있었거든 ??
근데 추가로  뭔 섀도우가 쌔삥이 왔어
이거 잘못넣은거 아냐 ?? 저번에 아이브로우도 본품 와서 전화했더니 아 그러면 걍 쓰라고 해서 썻는디",1
1043579,잡담,무신사에서 윈터 턴 샀다,True,0,26.06.10,844,https://theqoo.net/beauty/4238390763?page=408,beauty,윈터턴 아른거렸는데 ㄴㅇㅅ,1
1043538,스퀘어,무신사 루미르 팔레트 1.4 나옴 (끝났나봐 가격 오름),True,22,26.06.10,3439,https://theqoo.net/beauty/4238143779?page=410,beauty,아무 조건없이 그냥 할인되는 가격 중에서는 제일 저렴한듯? 이정도 가격 처음 봐서 가져옴 선라이즈 피치 빼고 다 있음,1
1043328,잡담,29cm왜 할인가랑 구매가능가 다를까,True,3,26.06.09,517,https://theqoo.net/beauty/4237022745?page=420,beauty,여러개담아도 정가고 쿠폰 다받았는데도 그러내,1
