post_id,board,category,title,author,comment_count,view_count,like_count,created_date,has_image,image_count,post_url,search_keywords,search_boards,content
65002392,name,1,본인표출 에이블리 판매자 진짜 선족인가? 말귀를 못알아처먹어 여기서 어떻게 더 말해야할지,Unknown,3,237,0,2025-11-24 14:07,False,0,https://www.instiz.net/name/65002392,에이블리,name,"본인표출
이 글에 한하여 익명에서 본인 표출이 가능해요
(본인 표출 아이템 사용 필요, 횟수 제한 있음)
이전 글 :
https://www.instiz.net/name/65001762?category=1
이거 쓰니임
네 앱에서 여전히 ‘취소진행중’ 이라고 표시되니 정상 배송처리 될수 있게 취소요청철회 부탁드려요. -> 이렇게 문의했는데  갑자기 잠수탐.
나 사기당한거임? 판매자가 취소철회안하면 배송도 못받는상태고 환불도 못받잖아"
65002006,name,1,충격.. 무신사 픽업 사라졌구나..,Unknown,2,47,0,2025-11-24 13:15,False,0,https://www.instiz.net/name/65002006,무신사,name,심지어 올 초에 사라졌대..... 무신사 픽업 나름 잘 이용했는데 사라지다니.. 픽업 서치했을 때 이 글 걸려라! 픽업 서비스 종료됨!
65001762,name,1,에이블리 판매자 진짜 너무 빡인거 같아 이 머리로 어떻게 장사를 하지?,Unknown,4,117,0,2025-11-24 12:39,False,0,https://www.instiz.net/name/65001762,에이블리,name,"아침에 내가  취소해달라고 문의했는데 이미 준비중이라 취소가 안된다는거야 그래서 알겠다고 취소 철회해달라고 했는데 아직까지 취소 진행중상태임.
그래서 내가 정상배송처리될수 있게 취소철회해달라고 또 문의했더니 이미 물건 준비중이라 취소 안된다고 답변이옴...ㅋㅋㅋㅋㅋㅋㅋ
취소진행중 상태면 정상 배송처리도 못하고 배송조회도 못하고 반품도 못하는 상태아니냐고. 사기꾼인가? 왜 저래..ㅋㅋ 배송도 안해주고 취소도 안시켜고 이게 뭐냐고"
65001015,name,1,요거요거 살말해주라 에이블리 가죽백 화이뚜,Unknown,6,57,0,2025-11-24 10:45,True,3,https://www.instiz.net/name/65001015,에이블리,name,백꾸할거야
64999559,name,1,에이블리 쿠폰할려고 오픈채팅방 들어가서 하는데 오픈채팅정지됨,Unknown,0,39,0,2025-11-24 01:27,False,0,https://www.instiz.net/name/64999559,에이블리,name,하 망할 키카오 심지어 나 손느려서 천천히하고있었음
64999304,name,1,무신사 적립금 급한데 여기다 링크 올림안되징?,Unknown,1,56,0,2025-11-24 00:47,False,0,https://www.instiz.net/name/64999304,무신사,name,무퀴즈..? 머 그걸 풀라거하던디..
64999107,name,1,에이블리 쿠폰 서로 뽑자!!,Unknown,4,48,0,2025-11-24 00:23,False,0,https://www.instiz.net/name/64999107,에이블리,name,"💰친구가 에이블리 ~99% 쿠폰을 보냈어요.
다른 친구가 받기 전에 서두르세요!
https://m.a-bly.com/events-subpage/19305?referral_code=af3ee9c5ad
해주고 댓글로 달아줘!"
64999094,name,1,에이블리 쿠폰 서로 뽑아주자ㅠ,Unknown,7,47,0,2025-11-24 00:21,False,0,https://www.instiz.net/name/64999094,에이블리,name,"나도 오십프로ㅠㅠ
💰친구가 에이블리 ~99% 쿠폰을 보냈어요.
다른 친구가 받기 전에 서두르세요!
https://m.a-bly.com/events-subpage/19305?referral_code=b04d4b557f"
64998997,name,1,와 근데 무신사 앱 버벅임 진짜 심하다...,Unknown,0,15,0,2025-11-24 00:12,False,0,https://www.instiz.net/name/64998997,"무신사,에이블리,지그재그",name,"솔직히 이것 때문에 무신사 잘 안 들어가져...
이거 전부터 꾸준히 이랬는데 안 고쳐지는 것도 신기하네 피드백 엄청 많았을 것 같은데
이런 거나 어떻게 잘 좀 했으면 좋겠어ㅠㅠ 기본적인 것부터!!!! 지그재그랑 하물며 에이블리도 이렇게까진 안 심한데 너무한 것 같아"
64998849,name,1,무신사 릴바레 블러셔 2개 만원대임,Unknown,0,260,0,2025-11-23 23:58,True,1,https://www.instiz.net/name/64998849,무신사,name,다들 겟 ㄱㄱ
